Num of block,Count,Time
10200,9,1754
10200,10,1771
10300,1,3589
10300,2,1831
10300,3,1825
10300,4,1778
10300,5,1934
10300,6,1762
10300,7,1853
10300,8,1984
10300,9,1799
10300,10,1673
10400,1,3513
10400,2,1833
10400,3,1840
10400,4,1820
10400,5,1832
10400,6,1774
10400,7,2003
10400,8,1773
10400,9,1909
10400,10,1947
10500,1,4682
10500,2,1698
10500,3,1909
10500,4,1848
10500,5,1996
10500,6,1974
10500,7,1799
10500,8,1906
10500,9,1906
10500,10,1802
10600,1,4169
10600,2,1963
10600,3,1750
10600,4,1982
10600,5,1957
10600,6,1857
10600,7,1879
10600,8,1866
10600,9,1841
10600,10,1867
10700,1,5080
10700,2,1759
10700,3,1936
10700,4,1748
10700,5,1884
10700,6,1942
10700,7,1779
10700,8,1975
10700,9,1884
10700,10,1886
10800,1,3838
10800,2,1923
10800,3,1752
10800,4,1882
10800,5,1994
10800,6,1744
10800,7,2082
10800,8,1717
10800,9,1927
10800,10,1845
10900,1,4810
10900,2,1755
10900,3,1951
10900,4,1856
10900,5,1964
10900,6,1895
10900,7,2009
10900,8,2058
10900,9,1760
10900,10,2003
11000,1,4757
11000,2,1799
11000,3,1992
11000,4,1834
11000,5,1966
11000,6,1828
11000,7,2161
11000,8,1878
11000,9,1774
11000,10,2006
11100,1,5384
11100,2,1991
11100,3,1926
11100,4,2065
11100,5,1974
11100,6,2050
11100,7,1794
11100,8,2040
11100,9,1929
11100,10,1908
11200,1,5533
11200,2,1838
11200,3,2137
11200,4,1921
11200,5,2096
11200,6,2024
11200,7,1926
11200,8,2133
11200,9,2066
11200,10,1863
11300,1,4308
11300,2,2109
11300,3,2130
11300,4,1953
11300,5,2082
11300,6,1977
11300,7,1953
11300,8,2171
11300,9,1988
11300,10,1960
11400,1,5056
11400,2,1890
11400,3,2114
11400,4,2081
11400,5,1962
11400,6,2073
11400,7,2020
11400,8,1896
11400,9,2135
11400,10,2059
11500,1,4686
11500,2,1916
11500,3,2136
11500,4,2040
11500,5,2016
11500,6,2082
11500,7,1961
11500,8,2198
11500,9,2201
11500,10,1876
11600,1,5046
11600,2,2104
11600,3,2132
11600,4,1859
11600,5,2157
11600,6,2070
11600,7,2141
11600,8,1975
11600,9,2155
11600,10,2056
11700,1,5776
11700,2,2037
11700,3,2038
11700,4,2124
11700,5,1998
11700,6,2196
11700,7,2046
11700,8,2169
11700,9,2050
11700,10,2133
11800,1,5439
11800,2,1956
11800,3,2117
11800,4,2131
11800,5,1940
11800,6,2230
11800,7,2162
11800,8,2115
11800,9,2111
11800,10,2103
11900,1,4982
11900,2,2191
11900,3,2146
11900,4,1938
11900,5,2158
11900,6,1988
11900,7,2364
11900,8,1889
11900,9,2182
11900,10,1990
12000,1,5897
12000,2,1951
12000,3,2300
12000,4,2394
12000,5,2293
12000,6,2046
12000,7,2176
12000,8,2175
12000,9,2171
12000,10,2009
12100,1,5644
12100,2,2075
12100,3,2280
12100,4,1992
12100,5,2177
12100,6,2008
12100,7,2212
12100,8,2121
12100,9,2311
12100,10,2007
12200,1,4432
12200,2,2154
12200,3,2015
12200,4,2288
12200,5,2166
12200,6,2029
12200,7,2248
12200,8,2077
12200,9,2264
12200,10,2074
12300,1,4497
12300,2,2227
12300,3,2278
12300,4,2162
12300,5,2280
12300,6,2269
12300,7,2152
12300,8,2154
12300,9,2322
12300,10,2098
12400,1,6002
12400,2,2086
12400,3,2344
12400,4,2170
12400,5,2374
12400,6,2204
12400,7,2189
12400,8,2393
12400,9,2268
12400,10,2257
12500,1,4804
12500,2,2382
12500,3,2038
12500,4,2365
12500,5,2080
12500,6,2268
12500,7,2203
12500,8,2215
12500,9,2131
12500,10,2234
12600,1,6179
12600,2,2266
12600,3,2273
12600,4,2251
12600,5,2121
12600,6,2207
12600,7,2324
12600,8,2328
12600,9,2279
12600,10,2240
12700,1,5767
12700,2,2298
12700,3,2384
12700,4,2352
12700,5,2261
12700,6,2213
12700,7,2195
12700,8,2389
12700,9,2265
12700,10,2229
12800,1,5766
12800,2,2295
12800,3,2078
12800,4,2298
12800,5,2435
12800,6,2206
12800,7,2348
12800,8,2333
12800,9,2240
12800,10,2288
12900,1,6150
12900,2,2318
12900,3,2219
12900,4,2403
12900,5,2419
12900,6,2219
12900,7,2385
12900,8,2319
12900,9,2325
12900,10,2249
13000,1,5365
13000,2,2396
13000,3,2400
13000,4,2256
13000,5,2374
13000,6,2456
13000,7,2380
13000,8,2344
13000,9,2459
13000,10,2346
13100,1,6719
13100,2,2232
13100,3,2534
13100,4,2384
13100,5,2292
13100,6,2340
13100,7,2328
13100,8,2342
13100,9,2343
13100,10,2419
13200,1,5677
13200,2,2395
13200,3,2291
13200,4,2352
13200,5,2376
13200,6,2331
13200,7,2322
13200,8,2406
13200,9,2387
13200,10,2384
13300,1,5407
13300,2,2428
13300,3,2172
13300,4,2380
13300,5,2454
13300,6,2347
13300,7,2420
13300,8,2353
13300,9,2416
13300,10,2444
13400,1,5275
13400,2,2416
13400,3,2473
13400,4,2392
13400,5,2471
13400,6,2414
13400,7,2307
13400,8,2294
13400,9,2346
13400,10,2573
13500,1,5210
13500,2,2491
13500,3,2459
13500,4,2351
13500,5,2365
13500,6,2310
13500,7,2395
13500,8,2447
13500,9,2482
13500,10,2434
13600,1,6280
13600,2,2284
13600,3,2440
13600,4,2366
13600,5,2322
13600,6,2370
13600,7,2500
13600,8,2393
13600,9,2430
13600,10,2507
13700,1,6744
13700,2,2414
13700,3,2422
13700,4,2471
13700,5,2523
13700,6,2515
13700,7,2557
13700,8,2449
13700,9,2518
13700,10,2544
13800,1,6729
13800,2,2456
13800,3,2589
13800,4,2527
13800,5,2669
13800,6,2350
13800,7,2589
13800,8,2485
13800,9,2621
13800,10,2517
13900,1,6363
13900,2,2368
13900,3,2630
13900,4,2391
13900,5,2402
13900,6,2513
13900,7,2539
13900,8,2311
13900,9,2475
13900,10,2488
14000,1,7288
14000,2,2439
14000,3,2593
14000,4,2515
14000,5,2411
14000,6,2580
14000,7,2567
14000,8,2357
14000,9,2592
14000,10,2397
